test_file,instance_full_name,instance,instance_type,number_of_itens,capacity_of_knapsack,algo,instance_repeated,result,time
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,56"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,651"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,69"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"2,077"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,536"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,404"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,41"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,427"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"1,397"
u574_n5730_uncorr_10.ttp_cs2b.csv,u574_n5730_uncorr_10.ttp,u574,uncorr,5730,"2606510,0",cs2b,u574_n5730_uncorr_10.ttp,924851,"2,046"
